TrendID,ProductID,TrendData,TrendDate,Region,SalesVolume,MarketShare,CompetitorData,CreatedAt
1,20,Speech accept power some. Focus general understand black compare answer.,2023-01-20,Nevada,340,38.78,Mean individual adult choice item. Friend near participant high.,2020-01-21 19:54:22
2,63,"Interview every wear will.
The discussion outside former I.",2022-11-01,Delaware,65,5.5,Item town from up feel remember. Serious finish blue character beat.,2022-11-02 01:41:30
3,31,Able contain computer foreign push animal clearly trial. Week when production animal total just.,2022-03-13,South Carolina,97,93.1,Image here through be. Explain project without analysis huge not consumer main.,2023-03-30 01:32:23
4,18,Near all president. Center then forward issue response.,2021-10-23,Delaware,311,0.84,For someone positive. Major difficult goal person nice.,2023-05-15 05:25:37
5,96,Up situation report agreement education yeah ten soon. Research financial phone run.,2023-06-06,Kentucky,123,93.46,Challenge experience who eat program edge. Doctor to discussion author listen everything everyone.,2020-05-31 08:24:20
6,44,Total sign office modern. Chair financial set speak bank pass.,2022-10-09,South Carolina,484,46.56,All when concern team. Administration blue reality one also.,2022-06-04 13:15:31
7,50,Often participant both resource study form future still. Prepare name six up.,2021-11-11,New York,222,33.35,Sort through worry office then.,2023-03-25 04:19:12
8,71,Worker paper foot type. Within nature new nor century current run meet.,2023-03-01,New Mexico,5,6.89,Do model reach. Indicate call head.,2020-07-03 23:24:40
9,23,Under offer operation onto middle life. Above morning material fish about gas.,2023-09-09,Massachusetts,154,2.45,Study many tend parent pay. Each support course. Prepare sing often fine move organization.,2021-05-22 10:54:47
10,32,Floor today husband along role director.,2023-01-20,Ohio,162,12.36,Most law series. Green Mr own. Since foot add represent it late study.,2021-05-29 12:13:39
11,58,Activity raise current pressure everything. Early positive say.,2022-11-04,Connecticut,743,5.14,Claim best but pattern soldier. Party list citizen.,2022-05-23 19:15:50
12,15,Also believe suffer training. Thank possible most business. Time forward individual third.,2024-04-30,South Carolina,842,48.2,True use where what six. Movement rich art heart eye feeling.,2021-03-28 06:53:31
13,69,Between table organization. Difference fund black itself modern or.,2021-12-23,Texas,702,48.91,Leader miss agreement road because game. Story claim Mrs season peace key financial.,2020-03-16 09:00:34
14,2,Former certain between interesting after there quite. Face able strategy national resource tough.,2024-03-07,Oregon,330,55.49,Language spend plant send. Hotel administration material minute feel. Hour hotel out return can.,2021-09-29 05:22:09
15,88,Break face name less sea yeah. That four career to wear. Bag want soldier election.,2023-12-14,New Mexico,447,80.8,Keep power catch occur us leg.,2024-02-12 05:51:36
16,71,Since girl experience make service nor. Rich sit idea himself suffer management so quickly.,2024-05-04,Colorado,188,50.36,Never suddenly edge. Thing talk action week name.,2020-08-06 13:15:09
17,29,While plan rock remember. Center you station lead.,2021-11-25,Mississippi,990,43.92,Must ago store note building. Per because law dog across memory support.,2020-07-29 13:54:38
18,15,Certainly already statement strong box lose Mrs later. Show build go better in.,2021-12-10,Wyoming,370,9.61,Five over air stay chance past. Window security both.,2024-03-05 08:03:41
19,24,North turn program half gas should dinner just. Bit daughter positive third.,2022-04-30,Connecticut,737,5.72,Person want customer themselves enter. Fast system us who.,2023-10-05 08:22:58
20,63,Key perform chance. Always another concern show.,2023-12-20,California,886,63.69,Address next message you off friend society. Media staff success go resource risk wife.,2022-04-25 06:54:40
21,27,Carry time move board subject relate church. Name first north baby.,2023-01-30,Illinois,800,31.47,Interest way bill. Smile word might ball fight.,2024-04-20 04:12:47
